day,start_span,original_entity,lat,lng,resolved_entity
270,1453,Paris,48.85341,2.3488,Paris
270,1589,Paris,48.85341,2.3488,Paris
270,1913,Vienna,48.20849,16.37208,Vienna
271,350,Paris,48.85341,2.3488,Paris
271,539,Paris,48.85341,2.3488,Paris
271,1550,Baghdad,33.34058,44.40088,Baghdad
272,908,Southerly,28.01442,-81.53987,Southerly
29,355,Italy,42.83333,12.83333,Italy
2,2,Frid,34.93333,3.5,Frid
2,129,Baghdad,33.34058,44.40088,Baghdad
2,306,Baghdad,33.34058,44.40088,Baghdad
2,745,England,52.16045,-0.70312,England
2,1315,France,46.0,2.0,France
2,1437,London,51.50853,-0.12574,London
2,1451,Afghanistan,33.0,66.0,Afghanistan
2,1531,Fort,29.52749,-95.77089,Fort
2,1597,Toweel,31.10971,33.93242,Towil
30,275,Baghdad,33.34058,44.40088,Baghdad
30,1189,Fort,29.52749,-95.77089,Fort
31,20,Very,49.24876,5.06757,Very
31,234,Umel,33.93834,63.43903,Umel
31,426,Alexander,32.94401,-85.95385,Alexander
31,440,Bombay,19.07283,72.88261,Bombay
33,183,Amara,11.5,38.5,Amara
34,1507,Baghdad,33.34058,44.40088,Baghdad
34,1624,Basreh,26.2598,57.2249,Basreh
35,500,France,46.0,2.0,France
35,511,Bombay,19.07283,72.88261,Bombay
35,786,Amara,11.5,38.5,Amara
35,893,Amara,11.5,38.5,Amara
37,205,Coot,51.16679,-56.8148,Coot
37,540,Fort,29.52749,-95.77089,Fort
38,229,Baghdad,33.34058,44.40088,Baghdad
38,598,Baghdad,33.34058,44.40088,Baghdad
39,180,Rome,41.89193,12.51133,Rome
3,131,Coot,51.16679,-56.8148,Coot
41,349,Erly,40.40897,-77.33888,Erly
42,626,Europe,48.69096,9.14062,Europe
43,716,London,51.50853,-0.12574,London
44,428,river,45.75278,0.36194,River
44,988,Fort,29.52749,-95.77089,Fort
45,79,Toweel,31.10971,33.93242,Towil
45,176,Coot,51.16679,-56.8148,Coot
46,3,Sund,62.45806,17.34889,Sund
47,482,Baghdad,33.34058,44.40088,Baghdad
47,879,Baghdad,33.34058,44.40088,Baghdad
48,80,Erly,40.40897,-77.33888,Erly
48,516,Bombay,19.07283,72.88261,Bombay
48,552,Paris,48.85341,2.3488,Paris
48,727,Paris,48.85341,2.3488,Paris
48,1221,Paris,48.85341,2.3488,Paris
48,1444,Paris,48.85341,2.3488,Paris
49,778,Baghdad,33.34058,44.40088,Baghdad
50,161,Passengers,47.62769,-53.70091,Passengers
50,377,England,52.16045,-0.70312,England
52,645,Memlah,34.30101,70.10191,Memlah
52,945,New,-41.25087,147.78355,New
52,999,Fort,29.52749,-95.77089,Fort
57,346,Paris,48.85341,2.3488,Paris
58,111,Baghdad,33.34058,44.40088,Baghdad
59,506,Sout,51.4,-0.5,Sout
5,41,Paris,48.85341,2.3488,Paris
5,1322,Paris,48.85341,2.3488,Paris
5,2083,Bushire,28.96887,50.83657,Bushire
61,640,Bombay,19.07283,72.88261,Bombay
62,766,Baghdad,33.34058,44.40088,Baghdad
62,1215,Gulf,-7.7246,145.08545,Gulf
63,25,Jany,28.46758,82.4465,Jany
63,640,Amara,11.5,38.5,Amara
64,23,Ely,52.39964,0.26196,Ely
64,746,Baghdad,33.34058,44.40088,Baghdad
64,853,Coot,51.16679,-56.8148,Coot
66,56,Light,-34.40981,138.84367,Light
66,717,river,45.75278,0.36194,River
66,746,Deckman,32.74596,-96.99778,Deckman
67,271,Baghdad,33.34058,44.40088,Baghdad
67,979,Cairo,30.06263,31.24967,Cairo
67,1056,London,51.50853,-0.12574,London
67,1508,Baghdad,33.34058,44.40088,Baghdad
67,1528,Europe,48.69096,9.14062,Europe
68,702,Paris,48.85341,2.3488,Paris
69,142,Baghdad,33.34058,44.40088,Baghdad
6,225,Paris,48.85341,2.3488,Paris
6,712,Baghdad,33.34058,44.40088,Baghdad
6,899,Ely,52.39964,0.26196,Ely
72,514,London,51.50853,-0.12574,London
72,1015,Baghdad,33.34058,44.40088,Baghdad
72,1318,Manchester,53.48095,-2.23743,Manchester
72,1352,Afghanistan,33.0,66.0,Afghanistan
72,1596,Diala,-7.95223,24.33318,Diala River
72,1666,West,51.52604,-131.16073,West
72,1954,N.W.,-36.03543,137.20501,Nw
73,344,Fort,29.52749,-95.77089,Fort
73,478,Baghdad,33.34058,44.40088,Baghdad
73,748,Europe,48.69096,9.14062,Europe
73,897,Baghdad,33.34058,44.40088,Baghdad
73,1263,Erly,40.40897,-77.33888,Erly
74,36,Light,-34.40981,138.84367,Light
74,45,Erly,40.40897,-77.33888,Erly
74,298,Coot,51.16679,-56.8148,Coot
74,459,Coot,51.16679,-56.8148,Coot
76,25,Jany,28.46758,82.4465,Jany
76,355,Baghdad,33.34058,44.40088,Baghdad
76,1106,Baghdad,33.34058,44.40088,Baghdad
76,1250,Cairo,30.06263,31.24967,Cairo
77,684,Baghdad,33.34058,44.40088,Baghdad
78,656,Persia,27.0,51.0,Persia
78,865,Bombay,19.07283,72.88261,Bombay
78,924,Amara,11.5,38.5,Amara
79,510,Aboo,6.1595,-1.76354,Aboo
79,1030,Baghdad,33.34058,44.40088,Baghdad
7,700,Amara,11.5,38.5,Amara
7,724,Ely,52.39964,0.26196,Ely
80,1328,Eastern,24.0,49.75,Eastern
81,114,Villag,45.3908,-63.61363,Villag
81,172,Fort,29.52749,-95.77089,Fort
81,198,River,45.75278,0.36194,River
81,370,Erly,40.40897,-77.33888,Erly
81,446,Shoal,39.65307,-93.93299,Shoal
82,368,Deckman,32.74596,-96.99778,Deckman
82,891,Cairo,30.06263,31.24967,Cairo
82,1004,Paris,48.85341,2.3488,Paris
82,1102,Paris,48.85341,2.3488,Paris
82,1246,Egypt,27.0,30.0,Egypt
82,1261,Paris,48.85341,2.3488,Paris
84,412,Vienna,48.20849,16.37208,Vienna
84,1046,Germany,51.5,10.5,Germany
85,535,Germany,51.5,10.5,Germany
86,598,Fort,29.52749,-95.77089,Fort
87,587,Memlah,34.30101,70.10191,Memlah
89,915,Bombay,19.07283,72.88261,Bombay
89,939,India,22.0,79.0,India
89,980,Bombay,19.07283,72.88261,Bombay
8,331,Coal,40.78897,-76.55885,Coal
91,470,England,52.16045,-0.70312,England
91,1014,Baghdad,33.34058,44.40088,Baghdad
91,1310,Baghdad,33.34058,44.40088,Baghdad
92,554,Coal,40.78897,-76.55885,Coal
94,538,River,45.75278,0.36194,River
94,602,Baghdad,33.34058,44.40088,Baghdad
95,420,Egypt,27.0,30.0,Egypt
96,355,Europe,48.69096,9.14062,Europe
96,627,Vienna,48.20849,16.37208,Vienna
99,251,Vienna,48.20849,16.37208,Vienna
99,305,Egypt,27.0,30.0,Egypt
99,556,Basreh,26.2598,57.2249,Basreh
99,813,Light,-34.40981,138.84367,Light
9,364,Fort,29.52749,-95.77089,Fort
