original_entity,geonames,fcode,lat,lng,resolved_entity
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Serpos,geonames:2510941,ES,37.81195,-6.79419,Serpos
Egypt,geonames:357994,EG,27.0,30.0,Egypt
Pemba,geonames:1028918,MZ,-12.97395,40.51775,Pemba
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
London,geonames:2643743,GB,51.50853,-0.12574,London
Laurence,geonames:3722447,HT,18.89616,-72.01201,Laurence
Bushire,geonames:139817,IR,28.96887,50.83657,Bushire
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
French Republic,,,,,France
Baghdadieh,,,,,Baghdadieh
Bostan,geonames:4930956,US,42.35843,-71.05977,Bostan
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Jany,geonames:95252,IQ,35.35363,44.79273,Jany
Port Said,geonames:358617,EG,31.12339,32.41926,Port Said
Zurich,geonames:2657895,CH,47.41667,8.66667,Zurich
Switzerland,geonames:2658434,CH,47.00016,8.01427,Switzerland
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
Afghanistan,geonames:1149361,AF,33.0,66.0,Afghanistan
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
French Republic,,,,,France
Antone Marine,,,,,Antone Marine
Mons,geonames:2993207,BE,50.63333,3.11667,Mons
Mons,geonames:2993207,BE,50.63333,3.11667,Mons
French Republic,,,,,France
Waly,geonames:1121777,AF,33.09084,68.12312,Waly
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Atta,geonames:408592,YE,13.96804,44.76463,Atta
Alla,geonames:2608399,AT,46.8,15.93333,Alla
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Diala,geonames:1432221,IN,33.23562,74.37585,Diala River
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Aleppo,geonames:170063,SY,36.20124,37.16117,Aleppo
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Baghdadieh,,,,,Baghdadieh
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Satur,geonames:91450,IQ,36.18042,43.79816,Satur
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Patna,geonames:1260086,IN,25.59408,85.13563,Patna
Malamir,geonames:130697,IR,31.83027,49.86756,Malamir
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Paris,geonames:2988507,FR,48.85341,2.3488,Paris
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
France,geonames:3017382,FR,46.0,2.0,France
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Mily,geonames:3070624,CZ,50.23267,13.86704,Mily
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Bellem,geonames:3033679,FR,48.37329,0.57005,Bellem
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Tapo,geonames:2322405,NG,8.35553,4.4635,Tapo
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Voy,,,,,Voy
Turkey,geonames:298795,TR,39.0,35.0,Turkey
Katif,geonames:7358227,YE,14.48269,43.97484,Katif
Baghdadieh,,,,,Baghdadieh
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
London,geonames:2643743,GB,51.50853,-0.12574,London
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Marseille,geonames:2995469,FR,43.29695,5.38107,Marseilles
London,geonames:2643743,GB,51.50853,-0.12574,London
Paris,geonames:2988507,FR,48.85341,2.3488,Paris
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Blanche,geonames:4284808,US,36.81814,-83.65519,Blanche
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Baghdadieh,,,,,Baghdadieh
Dawar,geonames:1143771,AF,33.35944,69.37811,Dawar
