resolved_entity,geonames,fcode,lat,lng
Europe,geonames:6255148,,48.69096,9.14062
Batta,geonames:9276832,PK,34.51227,71.714
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Diala,geonames:1432221,IN,33.23562,74.37585
Gherrara,,,,
Baghdad,geonames:98182,IQ,33.34058,44.40088
Aleppo,geonames:170063,SY,36.20124,37.16117
Mossul,geonames:99072,IQ,36.335,43.11889
Carr,geonames:4380134,US,36.50784,-93.56574
Baghdad,geonames:98182,IQ,33.34058,44.40088
Adoola,geonames:65830,SO,0.1267,41.8943
Mushir,geonames:411802,OM,23.63152,56.4914
Han,geonames:436238,TR,36.99639,38.12083
Basreh,geonames:6686495,IR,36.1445,45.574
Mushir,geonames:411802,OM,23.63152,56.4914
Mushir,geonames:411802,OM,23.63152,56.4914
Yemen,geonames:69543,YE,15.5,47.5
Diala,geonames:1432221,IN,33.23562,74.37585
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Baghdadieh,,,,
Azizieh,,,,
Ther,geonames:10687676,IN,32.37957,75.90759
Khalifah,geonames:73887,YE,14.88065,43.31353
Faleh,geonames:134913,IR,31.54804,50.33876
Khalifah,geonames:73887,YE,14.88065,43.31353
