original_entity	geonames	fcode	lat	lng
Ulto	geonames:477685	RU	46.21338	39.58851
Ulto	geonames:477685	RU	46.21338	39.58851
Marseille	geonames:2995469	FR	43.29695	5.38107
London	geonames:2643743	GB	51.50853	-0.12574
Paris	geonames:2988507	FR	48.85341	2.3488
Ulto	geonames:477685	RU	46.21338	39.58851
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Ulto	geonames:477685	RU	46.21338	39.58851
Blanche	geonames:4284808	US	36.81814	-83.65519
Mardin	geonames:304794	TR	37.31775	40.71533
Baghdadieh				
Dawar	geonames:1143771	AF	33.35944	69.37811
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Khalifah	geonames:73887	YE	14.88065	43.31353
Constantinople	geonames:745044	TR	41.01384	28.94966
Blanche	geonames:4284808	US	36.81814	-83.65519
Mardin	geonames:304794	TR	37.31775	40.71533
Deir	geonames:361838	EG	25.33503	32.58179
London	geonames:2643743	GB	51.50853	-0.12574
Svoboda	geonames:726532	BG	42.23333	25.43333
Baghdad	geonames:98182	IQ	33.34058	44.40088
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Constantinople	geonames:745044	TR	41.01384	28.94966
Mardin	geonames:304794	TR	37.31775	40.71533
Mardin	geonames:304794	TR	37.31775	40.71533
Deir	geonames:361838	EG	25.33503	32.58179
Aleppo	geonames:170063	SY	36.20124	37.16117
Mardin	geonames:304794	TR	37.31775	40.71533
Waly	geonames:1121777	AF	33.09084	68.12312
Mushir	geonames:411802	OM	23.63152	56.4914
Yemen	geonames:69543	YE	15.5	47.5
Constantinople	geonames:745044	TR	41.01384	28.94966
Okes	geonames:303614	TR	38.22549	31.54934
Basreh	geonames:6686495	IR	36.1445	45.574
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdadieh				
Ajaj	geonames:250806	JO	32.67463	35.67898
Baghdad	geonames:98182	IQ	33.34058	44.40088
Basha	geonames:1363569	PK	31.18603	67.41406
Anara	geonames:135036	IR	35.3711	49.88715
Satur	geonames:91450	IQ	36.18042	43.79816
Ulto	geonames:477685	RU	46.21338	39.58851
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
London	geonames:2643743	GB	51.50853	-0.12574
Ulto	geonames:477685	RU	46.21338	39.58851
London	geonames:2643743	GB	51.50853	-0.12574
London	geonames:2643743	GB	51.50853	-0.12574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Dont	geonames:3177521	IT	46.35478	12.14368
Bagdad	geonames:98182	IQ	33.34058	44.40088
Bushire	geonames:139817	IR	28.96887	50.83657
Afghanistan	geonames:1149361	AF	33	66
America	geonames:3568983	CU	20.3	-76.2
Khandallah	geonames:2188858	NZ	-41.245	174.79422
Amra	geonames:1184512	PK	32.42297	72.95138
Fao	geonames:2268339	PT	37.01869	-7.92716
Fao	geonames:2268339	PT	37.01869	-7.92716
Amra	geonames:1184512	PK	32.42297	72.95138
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Sheikh Hussein	geonames:328646	ET	7.75	40.7
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdadieh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Austria	geonames:2782113	AT	47.33333	13.33333
Geneva	geonames:2660646	CH	46.20222	6.14569
London	geonames:2643743	GB	51.50853	-0.12574
Chiha	geonames:172541	SY	35.15507	36.68449
Marseilles	geonames:2995469	FR	43.29695	5.38107
Basreh	geonames:6686495	IR	36.1445	45.574
Svoboda G.S.				
Marseilles	geonames:2995469	FR	43.29695	5.38107
Antone				
Marseilles	geonames:2995469	FR	43.29695	5.38107
Aleppo	geonames:170063	SY	36.20124	37.16117
Deir	geonames:361838	EG	25.33503	32.58179
Basreh	geonames:6686495	IR	36.1445	45.574
Okes	geonames:303614	TR	38.22549	31.54934
Basreh	geonames:6686495	IR	36.1445	45.574
Kher	geonames:1136721	AF	33.29485	68.49563
Diala	geonames:1432221	IN	33.23562	74.37585
Zumbaranyeh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
France	geonames:3017382	FR	46	2
Marseilles	geonames:2995469	FR	43.29695	5.38107
France	geonames:3017382	FR	46	2
Dawar	geonames:1143771	AF	33.35944	69.37811
Baghdadieh				
Khalifah	geonames:73887	YE	14.88065	43.31353
Khalifah	geonames:73887	YE	14.88065	43.31353
London	geonames:2643743	GB	51.50853	-0.12574
Khalifah	geonames:73887	YE	14.88065	43.31353
Madm	geonames:1221053	TJ	39.41746	68.33533
Afghanistan	geonames:1149361	AF	33	66
Laristan	geonames:125860	IR	27	55.5
